"Timestamp","Does your current job title contain any of the following words 'Test', 'Tester', 'Testing'?","I am a TESTER","I am a GAMER","How many years have you been a TESTER","How many years have you been a GAMER","In an average week hours spent TESTING","In an average week hours spent Gaming","TESTING skill out of 100","GAMING skill out of 100","You should experiment when testing.","In the game Tetris each piece is composed of five blocks.","Have you ever worked as a games tester?"
"2017/11/14 3:31:39 AM GMT","No","Neither agree nor disagree","Strongly Agree","5","25","37.5","20","75","75","True","False","Yes"
"2017/11/14 6:08:52 AM GMT","Yes","Agree","Agree","2","19","30","10","70","80","True","False","No"
"2017/11/14 6:16:22 AM GMT","Yes","Strongly Agree","Agree","1","15","40","2","50","70","True","False","No"
"2017/11/14 7:19:04 AM GMT","Yes","Strongly Agree","Agree","2","8","40","6","90","90","True","False","No"
"2017/11/14 7:36:48 AM GMT","No","Strongly Agree","Strongly Agree","3","20","40","6","60","60","True","False","No"
"2017/11/14 10:50:35 AM GMT","Yes","Strongly Agree","Agree","4","19","40","6","95","100","True","False","Yes"
"2017/11/16 12:39:00 PM GMT","Yes","Strongly Agree","Strongly disagree","18","0","40","0","99.9","10","True","False","No"
"2017/11/16 12:39:27 PM GMT","Yes","Strongly Agree","Strongly Agree","8","26","25","15","75","75","True","True","No"
"2017/11/16 12:58:25 PM GMT","Yes","Strongly Agree","Agree","3","15","50","20","45","85","True","False","No"
"2017/11/16 1:01:08 PM GMT","No","Strongly Agree","Agree","10","28","40","12","85","70","True","False","No"
"2017/11/16 1:11:02 PM GMT","Yes","Strongly Agree","Strongly Agree","4","15","30","15","50","60","True","False","No"
"2017/11/16 1:24:34 PM GMT","Yes","Strongly Agree","Disagree","4","2","40","2","65","50","True","True","No"
"2017/11/16 1:36:08 PM GMT","Yes","Strongly Agree","Strongly Agree","6","25","30","8","70","60","True","False","No"
"2017/11/16 1:45:55 PM GMT","Yes","Strongly Agree","Strongly Agree","11","15","45","12","85","60","True","False","Yes"
"2017/11/16 1:49:34 PM GMT","No","Strongly Agree","Neither agree nor disagree","6","20","40","10","60","20","True","False","No"
"2017/11/16 1:54:13 PM GMT","Yes","Strongly Agree","Neither agree nor disagree","17","40","50","3","80","20","True","False","No"
"2017/11/16 2:27:49 PM GMT","No","Strongly Agree","Strongly Agree","3","20","30","10","50","50","True","False","No"
"2017/11/16 2:28:55 PM GMT","Yes","Strongly Agree","Strongly Agree","11","27","30","15","50","50","True","False","No"
"2017/11/16 2:32:40 PM GMT","No","Strongly Agree","Neither agree nor disagree","5","25","40","5","80","20","True","False","No"
"2017/11/16 2:53:23 PM GMT","No","Strongly Agree","Strongly Agree","4","20","40","40","60","80","True","False","No"
"2017/11/16 2:55:50 PM GMT","Yes","Strongly Agree","Strongly Agree","13","28","44","25","80","65","True","False","No"
"2017/11/16 3:00:28 PM GMT","Yes","Agree","Disagree","10","0","20","0","65","40","True","False","No"
"2017/11/16 3:11:24 PM GMT","No","Strongly Agree","Strongly Agree","3","15","20","15","50","50","True","False","No"
"2017/11/16 3:16:31 PM GMT","Yes","Strongly Agree","Strongly Agree","10","34","35","5","75","75","True","False","No"
"2017/11/16 10:42:06 PM GMT","No","Strongly Agree","Strongly Agree","6","29","40","5","50","50","True","False","Yes"
"2017/11/16 10:45:07 PM GMT","Yes","Strongly Agree","Neither agree nor disagree","17","0","40","6","70","20","True","False","No"
"2017/11/19 5:31:00 PM GMT","Yes","Strongly Agree","Strongly Agree","11","30","30","20","76","80","True","False","No"
"2017/11/20 4:47:30 AM GMT","Yes","Strongly Agree","Agree","6","10","40","30","80","90","True","False","No"
